code,description,prerequisites,syllabus_outline
UCS531,"Covers cloud computing paradigms and architecture, virtualization (server, storage, network), AWS core services (EC2, S3, SQS), IAM and cloud security, Hadoop/MapReduce and NoSQL data storage, and edge/fog computing for IoT. Labs implement Hadoop, RESTful web services, and MapReduce algorithms.",,"Introduction and Evolution of Computing Paradigms | Classification of Cloud Implementations | Virtualization | Cloud based Data Storage | Related Technologies | Sustainability"
UCS635,"Introduces heterogeneous parallel computing and GPU architecture, CUDA C programming (kernels, threads, memory hierarchy, tiled matrix multiplication), and alternative frameworks OpenCL and OpenACC. Labs practice CUDA, OpenCL and OpenACC programs on real GPU hardware.",,"Introduction to Heterogeneous Parallel Computing | History of GPU Computing | Introduction to Data Parallelism and CUDA C | Data-Parallel Execution Model | CUDA Memories | An Introduction to OpenCL | Parallel Programming with OpenACC"
UCS645,"Covers parallel architecture (Flynn's taxonomy, UMA/NUMA, interconnection networks), parallel algorithm design and performance analysis, distributed computing models, MPI message passing, the CUDA programming model, and parallel graph and matrix algorithms. Labs implement CUDA programs mapped to many-core hardware.",,"Parallelism Fundamentals | Parallel Decomposition and Parallel Performance | Distributed Computing: Introduction | Programming Message Passing and Shared Address Space Platforms | CUDA Programming Model | Parallel Algorithms Design, Analysis and Programming"
UCS751,"Covers discrete and continuous simulation, pseudo-random number generation, Petri nets and cellular automata, queuing and inventory system simulation, input modeling and distribution fitting, and verification, validation and output analysis of simulation models. Labs use simulation tools on real-life applications.",,"Introduction to Modeling and Simulation | Random Numbers Generation | Parallel Process Modeling | Simulation Experiments | Design of Simulators | Input Modeling | Verification and Validation of Model | Output Analysis | Sustainability"
UCS636,"Covers 3D object modelling (vertices, edges, extrusion, subdivision) in Blender/3ds Max, low-poly and Boolean modelling, character modelling with UV unwrapping and rigging (forward/inverse kinematics), physically based simulation (particle systems, collision detection, fluid simulation), and real-time animation techniques including motion capture and facial animation.",,"3D Object Modelling | Low Poly Models | 3D Character Modelling | Physically Based Modelling and Animation | Real Time Animation"
UCS646,"Covers the full game development pipeline: game loop, scene/state management, rendering optimizations (frustum/occlusion culling, level of detail), the mathematics behind game engines (vectors, matrices, quaternions, ray casting), and advanced topics including AR/VR games, AI-driven games, and mobile/touch input. Labs build 2D/3D games in Unity 3D with C#, including game physics (collision response, rigid-body dynamics).",,"Introduction to Game Design and Development | Fundamental Gaming Concepts | Maths behind Game Engines | Advanced Games (AR/VR/AI/Networking) | Game Physics"
UCS752,"Covers AR fundamentals (displays, tracking, calibration, registration), computer vision techniques for AR (marker tracking, SLAM, pose estimation, homography), and VR fundamentals (head-mounted displays, rendering pipeline, shading, motion/depth perception). Labs implement augmented reality and virtual reality techniques for PC and mobile devices.",,"Introduction of Augmented Reality | AR Displays | Tracking in AR | Computer Vision for AR | Virtual Reality | Calibration and Registration"
UCS534,"Covers security attacks and mechanisms, malware, Set-UID and privileged program vulnerabilities, buffer overflow exploitation and defenses (ASLR, Stack Guard), the Shellshock vulnerability, packet sniffing/spoofing, TCP attacks, firewalls (packet-filter, stateful, application), DNS/ARP poisoning, the Heartbleed bug, and PKI/TLS. Labs demonstrate real exploits and IPTables firewall configuration.",,"Introduction to Security Attacks and Mechanisms | Computer Security (Buffer Overflow, Shellshock) | Network Security (Firewalls, DNS/ARP Poisoning, PKI/TLS)"
UCS638,"Covers the secure software development lifecycle, threat modeling with attack trees and DREAD scoring, and common vulnerability classes: return-to-libc, format-string bugs, race conditions, PE code injection, CSRF, XSS and SQL injection, with countermeasures for each. Labs implement and defend against these attacks in real code.",,"Introduction to Secure Coding | Need for Secure Systems (SSDLC) | Threat Modelling Process and Benefits | Software and Web Security (CSRF, XSS, SQL Injection)"
UCS648,"Covers cybercrime categorization, the computer forensic investigation process, acquiring and duplicating evidence, recovering deleted files and partitions, evidence collection and preservation, and building a cybercrime case for prosecution. Labs use open-source forensic tools including FTK, Autopsy and The Sleuth Kit.",,"Introduction to Cybercrime | Understanding the People on the Scene | Computer Investigation Process | Acquiring, Duplicating and Recovering Deleted Files | Collecting and Preserving Evidence | Building the Cybercrime Case"
UCS754,"Covers cryptographic foundations (hashing, digital signatures, Merkle trees), Bitcoin and blockchain internals (block structure, mining, transactions), smart contracts on Ethereum and other platforms, and consensus mechanisms (proof of work, proof of stake, BFT, PBFT and variants). Labs implement a blockchain and smart contracts in Python and Solidity.",,"Basic Cryptography | Bitcoin Cryptocurrencies | Smart Contracts | Consensus Mechanisms | Applications of Blockchain"
UMC512,"Covers principles of mathematical modeling (dimensional analysis, conservation laws, linear vs nonlinear, deterministic vs stochastic), model validation and curve fitting, and simulation techniques in MATLAB, including population, traffic-flow, stochastic and option-pricing (Black-Scholes) models.",,"Mathematical Modeling | Approximating and Validating Models | Basic Simulation Approaches | Model and its Different Types"
